Model_Year,Model,Manufacturer,ManufacturerID,VehicleID,Category,Fuel,FuelID,Transmission_Type,Engine_Description
2013,Cayenne S Hybrid,Porsche,391,10544,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,Civic,Honda,209,10521,Sedan/Wagon,Hybrid Electric,45,ECVT,
2013,E400,Mercedes-Benz,239,10640,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,ES 300h,Lexus,243,10530,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,Escalade 2WD / AWD,Cadillac,231,10596,SUV,Hybrid Electric,45,Auto,
2013,FIT EV,Honda,209,10524,Sedan/Wagon,Electric,41,,
2013,Focus,Ford,219,10492,Sedan/Wagon,Electric,41,Auto,
2013,Fusion,Ford,219,10496,Sedan/Wagon,Hybrid Electric,45,ECVT,
2013,Fusion ENERGI,Ford,219,10494,Sedan/Wagon,Plug-in Hybrid Electric,57,ECVT,
2013,GS 450h,Lexus,243,10532,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,Highlander,Toyota,221,10552,SUV,Hybrid Electric,45,ECVT,
2013,ILX,Acura,365,10464,Sedan/Wagon,Hybrid Electric,45,ECVT,
2013,Insight,Honda,209,10523,Sedan/Wagon,Hybrid Electric,45,ECVT,
2013,Jetta Hybrid,Volkswagen,347,10559,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,LS 600h L,Lexus,243,10531,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,Leaf,Nissan,217,10541,Sedan/Wagon,Electric,41,,
2013,M35h,Infiniti,359,10527,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,MKZ,Lincoln,227,10510,Sedan/Wagon,Hybrid Electric,45,ECVT,
2013,Model S,Tesla,237,10546,Sedan/Wagon,Electric,41,Auto,
2013,Optima,Kia,361,10528,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,Panamera S Hybrid,Porsche,391,10545,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,Prius,Toyota,221,10548,Sedan/Wagon,Hybrid Electric,45,ECVT,
2013,Prius C,Toyota,221,10547,Sedan/Wagon,Hybrid Electric,45,ECVT,
2013,Prius Plug-in,Toyota,221,10553,Sedan/Wagon,Plug-in Hybrid Electric,57,ECVT,
2013,Prius V,Toyota,221,10549,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,Q5 Hybrid,Audi,377,10470,SUV,Hybrid Electric,45,Auto,
2013,RAV 4 EV,Toyota,221,10556,SUV,Electric,41,Auto,
2013,RX 450h,Lexus,243,10533,SUV,Hybrid Electric,45,Auto,
2013,S400,Mercedes-Benz,239,10538,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,Sierra C / K 1500,GMC,213,10585,Pickup,Hybrid Electric,45,Auto,
2013,Sierra C / K 1500,GMC,213,10594,Pickup,Hybrid Electric,45,Auto,
2013,Silverado C / K 1500,Chevrolet,215,10593,Pickup,Hybrid Electric,45,Auto,
2013,Sonata,Hyundai,351,10526,Sedan/Wagon,Hybrid Electric,45,Auto,
2013,Tahoe 2WD / AWD,Chevrolet,215,10595,SUV,Hybrid Electric,45,Auto,
2013,Touareg Hybrid,Volkswagen,347,10560,SUV,Hybrid Electric,45,Auto,
2013,Volt,Chevrolet,215,10562,Sedan/Wagon,Plug-in Hybrid Electric,57,Auto,
2013,Yukon 2WD / AWD,GMC,213,10597,SUV,Hybrid Electric,45,Auto,
2013,Yukon Denali 2WD / AWD,GMC,213,10598,SUV,Hybrid Electric,45,Auto,
2013,fortwo,smart,381,10539,Sedan/Wagon,Electric,41,,
2013,i-MiEV,Mitsubishi,263,10540,Sedan/Wagon,Electric,41,,
